date,hour,count
0,0,50
0,1,11
0,2,8
0,3,2
0,4,1
0,5,2
0,6,2
0,8,2
0,13,2
0,14,2
0,17,2
0,18,2
0,19,2
0,21,2
1,0,1
1,17,1
1,18,1
2,0,1
2,16,1
3,10,1
3,15,1
3,16,1
3,19,1
3,22,1
4,1,1
4,11,1
4,17,1
4,20,1
7,1,1
11,2,1
12,0,1
14,20,1
15,1,1
21,0,1
26,1,1
30,9,1
48,14,1
55,16,1
57,12,1
119,5,1
133,18,1
203,6,1
218,1,1
243,21,1
268,18,1
650,19,1
804,16,1
1194,16,1
